content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,clean_text_final
heran minta update mulu,2,0.0,0.0,Negative,heran update mulu
aplikasi nya lelet banget,1,0.0,0.0,Negative,
aplikasi sudah berfungsi dengan ngnbvb,5,0.0,0.0,Positive,fungsi
kode otp tidak dikirim2 ke wa padahal sinyal uda lancar,1,0.0,0.0,Negative,kode otp wa sinyal lancar
sangat membantu,5,0.0,0.0,Positive,bantu
aplikasi tol0l dikit2 ada notif harus diperbarui dikit2 ada notif harus diperbarui gblk emang bikin kesel pengguna aja auto unistall,1,0.0,0.0,Negative,notif baru notif baru emang bikin guna auto
kurang bagus sistem pembayarannya harusnya bisa edit nmr gopay atau dana pas mau bayarnya karna tidak semua org nomor waemail singkron ke gopaydana klo bisa juga ada sistem pembayaran virtual account jadi sy uninstall apk ini,1,0.0,0.0,Negative,bagus sistem bayar edit gopay dana pas bayar karna org nomor klo sistem bayar virtual account sy uninstall apk
bagus dan nyaman ❤️,5,0.0,0.0,Positive,bagus nyaman 
disaat mau pembayaran selalu tidak bisa padahal sinyal full 5g tetep saja cuma muncul layar putih,1,0.35,0.55,Negative,saat bayar sinyal full tetep muncul
tidak berguna nih aplikasi beli tiket mau pembayaran tidak bisa terus,1,0.0,0.0,Negative,guna beli tiket bayar
gabisa hubungkan ke gopay dan blu by bca,1,0.0,0.0,Negative,gabisa hubung gopay blu bca
bismillahirrahmanirrahim tadinya sudah download aplikasi buat mempermudah beli beli tiket pas di coba ehh koq metode bayarnya pakai aplikasi ewallet yang belum pernah saya tau juga cuma pakai blu aja bank yang lainnya tidak ada akhirnya saya uninstall balik saja pakai emoney lebih mudah dan praktis maaf ya🙏,3,0.0,0.0,Neutral,download mudah beli beli tiket pas coba metode bayar pakai ewallet tau pakai blu bank uninstall pakai emoney mudah praktis maaf
daftar tidak bisa masuk masuk internal error tolong di permudah untuk daftar,2,0.0,0.0,Negative,daftar masuk masuk internal error mudah daftar
tidak bisa mendaftar selalu muncul notifikasi internal error,1,0.0,0.0,Negative,daftar muncul internal error
fasilitas transportasi yang mantap,5,0.0,0.0,Positive,fasilitas transportasi mantap
nggak bisa daftar upload id,1,0.0,0.0,Negative,daftar id
ok e,5,0.5,0.5,Positive,
apaan sih sekarang di stasiun lebak bulus pintu masuknya cuma 1 sisi aja kita yang dari arah parkiran resmi jadi jalan kejauhan mana kalau lagi ramai jadi ngantri lagi masuknya ini bintang 1 untuk stasiun lebak bulus bulan aplikasi kalau aplikasi sudah baik,1,0.0,0.0,Negative,stasiun lebak bulus pintu masuk arah jalan masuk bintang stasiun lebak bulus
sangat menganggumkan,5,0.0,0.0,Positive,
new comer 🙏🏿🖤🖤🤍💌🎤💯🥰😍😘🤲🏿🙏🤲,5,0.13636363636363635,0.45454545454545453,Positive,
bukan rating untuk aplikasi hanya saja mungkin kalau nulis disini lebih memungkinkan tersampaikan saran saya sebaiknya bisa di training lagi untuk petugas ticketing pintu keluar lebak bulus hari ini 18 okt 2024 pukul  0910 wib agar lebih ramah terutama pada pelanggan baru,1,0.0,0.0,Negative,rating saran tugas pintu lebak bulus ramah langgan
cool application,5,0.35,0.65,Positive,
sistem pembayaran bukanya makin baik tapi makin hancur dlu bisa pake gopayovo link aja skrg pake blu bca juga tidak bs beli di loket kena biaya 1000 programer lo busuk min ganti2in aja orang mau buru2 malah ngupdate 😑,1,0.0,0.0,Negative,sistem bayar buka dlu pake link skrg pake blu bca beli biaya orang
aplikasi nya sudah bagus dan metode pembayarannya juga sudah lebih banyak dari sebelumnya cuma untuk metode pembayaran blu by bca masih susah untuk proses bindingnya terutama ketika memasukkan password padahal sudah sesuai dan benar namun tetap dianggap salah mohon diperbaiki dan terima kasih,5,0.0,0.0,Positive,bagus metode bayar metode bayar blu bca susah proses masuk password sesuai anggap salah mohon baik
metode pembayaran menggunakan aplikasi blu selalu error dan gagal kalau bisa secepatnya di perbaiki,2,0.0,0.0,Negative,metode bayar blu error gagal cepat baik
tidak guna bayarnya susah gabisa pake virtual account,1,0.0,0.0,Negative,bayar susah gabisa pake virtual account
ribet banget masalah topup gmn bisa berkembang ni aplikasi,1,0.0,0.0,Negative,ribet topup gmn kembang ni
kalau bisa stasiun awalnya juga bisa diubah jgn hanya stasiun tujuan kalau sudah beli pp dan ternyata pulangnya tidak bisa dari stasiun yang sesuai dengan yang dibeli jadi repot hrs beli tiket lg,3,0.0,0.0,Neutral,stasiun ubah jgn stasiun tuju beli pp pulang stasiun sesuai beli repot hrs beli tiket lg
pilihan pembayaran kacau amat bukannya ada pilihan pembayaran ewallet popular kaya gopay ovo dana ini malah pake ewallet tidak jelas yang gatau siapa coba yang punya  pake gitu pun pembayaran bank juga tidak jelas cuma bisa dari bank entah mana itu padahal tinggal dibuatin virtual account saja beres bisa transfer semua bang kesannya kaya bikin aplikasi tidak niat buat mempermudah pengguna tapi yang penting dapet komisi dari vendor aja,1,0.6,0.9,Negative,pilih bayar kacau pilih bayar ewallet kaya gopay ovo dana pake ewallet coba pake gitu bayar bank bank tinggal virtual account beres kaya bikin niat mudah guna vendor
bank pembayaran ny terlalu sedikit,2,0.0,0.0,Negative,bank bayar ny
tidak bisa bayar pakai gopay link aja qris,1,0.0,0.0,Negative,bayar pakai gopay link qris
pembayaran pake blu error terus jadi gabisa beli tiket,1,0.0,0.0,Negative,bayar pake blu error gabisa beli tiket
update mulu tiap hari,1,0.0,0.0,Negative,update mulu
ini aplikasi mass rapid transit bukannya memudahkan malah makin ngeribetin aplikasi nya suka error pembelian tiket suka error mending lu benerin dulu deh bug nya pengen ngomong kasar hadehhh,1,0.0,0.0,Negative,mass rapid transit mudah suka error beli tiket suka error mending bug hadehhh
pembayaran ribet pake bank cuma bisa blu dan master card tapi pake blu tidak bisa2 pake isaku juga tidak bisa apa tidak bisa pake pake alat pembayaran yang lebih mudah,1,0.0,0.0,Negative,bayar ribet pake bank blu card pake blu pake isa pake pake bayar mudah
gabisa pake bca digital,1,0.0,0.0,Negative,gabisa pake bca
metode pembayarannya kurang banyak ewallet nya kurang jadi ribet naik nya juga,2,0.0,0.0,Negative,metode bayar ewallet ribet
fasilitas tunggu d bawah minim mana ada stasiun besar kok fasilitas apa ada nyaaa gembel,1,0.0,0.0,Negative,fasilitas tunggu stasiun fasilitas
kebiasaan suka log oug dengan sendirinya dihilangkan lah,2,0.0,0.0,Negative,suka log hilang
nice,5,0.6,1.0,Positive,nice
bagus enak adem nyaman dan sangat mudah untuk cara pemesan tiket ny  naik pas ulang tahun jakarta 22 juni 2024 ,5,0.0,0.0,Positive,bagus enak nyaman mudah tiket ny pas ulang jakarta
semanggat bang,5,0.0,0.0,Positive,
hebaat…😁🥰,5,0.0,0.0,Positive,
ngga bisa bayar pakai astrapay loading mulu,1,0.0,0.0,Negative,ngga bayar pakai astrapay loading mulu
transportasi terbaru di dki jakarta rute nya hanya dari lebak bulus tujuan bundaran hi  arah sebaliknya bundaran hi tujuan lebak bulus indorihan 2019,5,0.0,0.0,Positive,transportasi baru jakarta rute lebak bulus tuju arah tuju lebak bulus
apa beda lrt dengan mass rapid transit dan bagaimana cara klo kita mau naik salah satu kereta ini,5,0.0,0.0,Positive,beda lrt mass rapid transit klo salah kereta
gajelas buka yutup lancar tapi buka mrtj lemot di jam sibuk server bapuk,2,0.0,0.0,Negative,gajelas buka lancar buka lot jam server
tidak bisa bayar pakai ewalllet yang lain tidak bisa bayar pakai qris yang kode batangnya bisa diunduh biaya transportasinya agak mahal,2,0.0,0.0,Negative,bayar pakai bayar pakai qris kode unduh biaya transportasi mahal
suka eror sesudah membeli tiket,2,0.0,0.0,Negative,suka eror beli tiket
pembelian online nya semakin membagong kan monopoli metode pembayaran pihak tertentu harusnya pemerintah turun tangan nie secara ini kan salah satu fasilitas strategis negara,1,0.0,0.0,Negative,beli online metode bayar salah fasilitas
tujuan bandung tidak ada di aplikasinya,2,0.0,0.0,Negative,tuju aplikasi
menyusahkan metode pembayaran nya tidak familiar,1,0.375,0.5,Negative,susah metode bayar familiar
kaga jelas keluar mulu pin sama kaga bisa gua kaga bisa pulang bangsatt,1,0.0,0.0,Negative,kaga mulu pin kaga kaga pulang
tidak ada metode pembayaran via gojegdana gitu,1,0.0,0.0,Negative,metode bayar via gitu
oke,5,0.0,0.0,Positive,oke
tujuan adanya mass rapid transit agar masyarakat beralih ke trasnportasi umum tapi untuk akses pembayaranya tidak kayak dulu klo dulu pembeliat tiket bisa melalui ovo dn gopay tapi skrng hanya berlaku i saku dan astrapay tolong pihak mass rapid transit dibaca kenapa saya menyarankan pembayaran via e wallet seperti ovo atau gopay dan dana karena masyarakat banyak transaksi melalukan e wallet tersebut bukan e wallet seperti i saku dan astrapay,1,0.0,0.0,Negative,tuju mass rapid transit masyarakat akses kayak klo tiket ovo dn gopay skrng laku saku astrapay mass rapid transit saran bayar via wallet ovo gopay dana masyarakat transaksi wallet wallet saku astrapay
karena jika opsi pengembang android aktif  aplikasi tidak bisa dipakai tapi kalo opsi pengembang di android tidak aktif hape lelet bukan main dan aplikasi ini mengharuskan opsi pengembang dalam keadaan non aktif apakah pengguna aplikasi my mrtj ini harus pengguna iphone,1,0.16666666666666666,0.3333333333333333,Negative,opsi kembang android aktif pakai kalo opsi kembang android aktif hape opsi kembang aktif guna guna
jelek banget masa cuma bisa bayar pake bank blu doang sama astrapay bayak lho jenis pembayaran lainnya,1,0.0,0.0,Negative,jelek bayar pake bank blu doang astrapay bayar
pembayarannya tidak seperti dulu lagi,1,0.0,0.0,Negative,bayar
tiap bulan uptd trs bukanya bgs makin eror tiap updt,1,0.0,0.0,Negative,trs buka eror
ok,5,0.5,0.5,Positive,
metode pembayaran diperbanyak bisa tidak sih apps jaman now masa ngebatasin pengguna segitunya 😅,2,0.0,0.0,Negative,metode bayar banyak apps jaman guna
ok,5,0.5,0.5,Positive,
untuk info tenant tolong infokan daftar menu dan pricelist nya misalnya ketika kita klik hypr caffein muncul daftar menu dan harga nya terima kasih,1,0.0,0.0,Negative,info info daftar klik muncul daftar harga
tidak bisa bayar pake blu,1,0.0,0.0,Negative,bayar pake blu
mode pembayarannya terbatas tolong dong di perluas lagi,1,0.0,0.0,Negative,mode bayar batas luas
kalau misalkan aplikasi tidak dipakai lebih baik di nonaktifkan saja di playstore menyusahkan saja tidak ada pemberitahuan juga,1,0.0,0.0,Negative,pakai susah
aplikasi sangat merugikan lebih dari 5 kali dengan kasus yang sama ketika saat melakukan pembayaran melalui isaku seperti terjadi trouble dan gagal sehingga saya mengetik ulang dan melakukan pembayaran lg alhasil sy beli 2 tiket yang sma padahal yang pertama traublerugi bnget si akan saya uninstall sihgak berguna,1,-0.2,0.2,Negative,rugi kali bayar isa gagal ulang bayar lg sy beli tiket si uninstall guna
metode pembayaran terbatas bikin males,1,0.0,0.0,Negative,metode bayar batas bikin males
gila nyusahin aplikasi sampah tidak guna,1,0.0,0.0,Negative,gila sampah
instal langsung delete opsi pembayaran kurang banyak,1,0.0,0.0,Negative,instal langsung opsi bayar
pembayaran sekarang ribet tidak bsa pake dana,1,0.0,0.0,Negative,bayar ribet bsa pake dana
moda raya terpadu jakarta,3,0.0,0.0,Neutral,moda jakarta
top up nya g lengkap g bisa pke e wallet laen,1,0.5,0.5,Negative,top lengkap pke wallet
aplikasi nya parah jelek bgt sering banget tiap bulan perbarui aplikasi tidak bisa di akses nya sering banget,2,0.0,0.0,Negative,parah jelek baru akses
setelah update malah metode pembayaran nya cuma 2 opsi ewallet dan 1 bank mana g umum tuh ewallet nya ayolah tambahin malah males naik mass rapid transit,1,0.0,0.0,Negative,update metode bayar opsi ewallet bank tuh ewallet tambahin males mass rapid transit
opsi pembayaran kini malah tambah dikit harusnya bisa gopay ovo shopee debit kredit cash biasanya lwt indoalfa atau va,3,0.0,0.0,Neutral,opsi bayar dikit gopay ovo debit lwt
ketika diinstall kembali ternyata pilihan pembayaran sangat sedikit dan tidak familiar jadi uninstall kembali mohon metode pembayaran seperti dahulu yang mana sangat bervariasi,1,0.375,0.5,Negative,pilih bayar familiar uninstall mohon metode bayar
bodooh bodoooh buat bayar saja susaaaah,1,0.0,0.0,Negative,bayar
tidak bisa di akses,1,0.0,0.0,Negative,akses
bagus,5,0.0,0.0,Positive,bagus
metode pembayaran kurang update,1,0.0,0.0,Negative,metode bayar update
sangat berguna bagi rakyat,5,0.0,0.0,Positive,guna
cara pembayaran sangat terbatas,1,0.0,0.0,Negative,bayar batas
sudah gabisa pake dana lagi dibuat untuk memudahkan tetapi sekarang malah makin menyulitkan tolong adakan lagi metode pembayaran ewallet lainnya,1,0.0,0.0,Negative,gabisa pake dana mudah sulit metode bayar ewallet
aplikasi pegembang apaannnn,1,0.0,0.0,Negative,
hari ini tgl 071123 jam 0745 error lagi pembayaran dengan metode isaku tolonglah di perbaiki eror di pagi hari sangat merugikan pengguna,1,0.0,0.0,Negative,tgl jam error bayar metode isa baik eror pagi rugi guna
kocak tidak bisa bayar pake ovodanagopay lagi bukannya mempermudah malah memper sulit,2,0.0,0.0,Negative,kocak bayar pake mudah sulit
uninstalllll  makin susah buat topup dan pembayaran cuman bisa 3 ewallet yang tidak tenar jarang banget orang pakai astrapay sama isaku jaman makin maju tapi mass rapid transit malah makin mundur harusnya pembayaran bisa pakai tf bank dan e wallet populer seperti gopay ovo shopeepay harusnya semuanya dibuat untuk memudahkan orang bukan malah mempersulit,2,0.0,0.0,Negative,susah topup bayar ewallet jarang orang pakai astrapay isa jaman maju mass rapid transit bayar pakai bank wallet gopay ovo shopeepay mudah orang sulit
ok,5,0.5,0.5,Positive,
istri wedding,5,0.0,0.0,Positive,
proses pembayaran sering error pernah masalahnya akun ewallet saya terhubung dengan akun lain padahal tidak pernah pake isaku atau astrapay di akun lain pernah juga gagal lakukan pembayaran dengan notif pembayaran menggunakan tix id error lah kok tiba2 tix id sih random amat setelah coba sekali lagi berhasil tapi tiket yang saya pesan malah jadi double entah gimana ceritanya dan tidak bisa dibatalkan mantap,3,-0.25,0.25,Neutral,proses bayar error akun ewallet hubung akun pake isa astrapay akun gagal laku bayar notif bayar id error tiba2 id coba hasil tiket pesan gimana mantap
aplikasi jelek tidak bisa di pakai,1,0.0,0.0,Negative,jelek pakai
makin updat makin aneh ini aplikasi metode pembayarannya yang praktis digunakan malah dihapus,1,0.0,0.0,Negative,aneh metode bayar praktis hapus
kenapa tidak bisa top up pakai qris dana atau gopay sangat bikin ribet tolong jangkauannya harus luas ya terimakasih,1,0.5,0.5,Negative,top pakai qris dana gopay bikin ribet luas terimakasih
kok tidak bisa di buka ya tulisannya pengembangan atau apa trus di suruh matikan hp sudah di restart tapi tidak bisa ke buka juga,1,0.0,0.0,Negative,buka tulis kembang trus suruh mati hp buka
kacau lah pagi² mu order tiket malah error tidak ada pilihan pembayaran untung ada bawa emoney,2,0.0,0.0,Negative,kacau pagi tiket error pilih bayar bawa emoney
ni kenapa saya mau bayar mass rapid transit jakarta tiba2 data saat ini kosong apa coba jelasin lah,2,0.0,0.0,Negative,ni bayar mass rapid transit jakarta tiba2 data coba
baru mau coba beli tiket eh metode pembayarannya tidak ada sama sekali bener2 gila,1,0.0,0.0,Negative,coba beli tiket eh metode bayar gila
ada yang aneh saat mau beli tiket diminta metode pembayaran nya tapi tidak ada field nya di checkout ataupun saat di set metode pembayaran di profile tidak bisa ewallet atau bank,2,0.0,0.0,Negative,aneh beli tiket metode bayar metode bayar ewallet bank
payah mau bayar saja repot,1,0.0,0.0,Negative,payah bayar repot
salah klik beli tiket gabisa refund parah gabisa cancel pula,1,0.0,0.0,Negative,salah klik beli tiket gabisa refund parah gabisa
ribet beli tiketnya,1,0.0,0.0,Negative,ribet beli tiket
dulu saya sering pakai ni aplikasi tapi semakin di update semakin mempersulit pengguna kecewa,1,0.0,0.0,Negative,pakai ni update sulit guna kecewa
ok,5,0.5,0.5,Positive,
pembayaran sulit kalau update tidak langsung terinstal,2,0.0,0.0,Negative,bayar sulit update langsung
akun anda terdeteksi opsi pengembang itu maksudnya apa sy tidak bisa masuk,4,0.0,0.0,Positive,akun deteksi opsi kembang sy masuk
mode pembayaran bank nya tambahin dong masa blu doang,1,0.0,0.0,Negative,mode bayar bank tambahin blu doang
tambahin pembayaran pake gopay atau dana plisss,1,0.0,0.0,Negative,tambahin bayar pake gopay dana
baru update malah makin sampah ni aplikasi tidak berguna bayar cuma bisa pake ewallet astra sama bank cuma bisa blu doang sarat kepentingan perusahaan tidak memikirkan kepentingan umum masyarakat padahal ini kan bumn transportasi milik negaradaerah bukan personal lucunya negeri ini parah kacaw penuh kepentingan pribadi,1,0.0,0.3,Negative,update sampah ni guna bayar pake ewallet astra bank blu doang penting penting masyarakat transportasi milik parah penting pribadi
payment online menggunakan yang jarang orang pakai  bikin ribet  balikin lagi donk e wallet seperti gopay ovo,1,0.0,0.0,Negative,payment online jarang orang pakai bikin ribet donk wallet gopay ovo
metode pembayaran hanya bisa melalui astrapay isaku  blu ini sama saja membatasi orang untuk naik mrt okupansi mass rapid transit 180 ribu tapi rata2 cuma terpakai 80 ribu alias kurang dari setengah kapasitas klo mau maksimal harusnya perluas kanal metode pembayaran terutama yang sudah populer seperti shopeepay gopay  via mobile banking,1,0.0,0.0,Negative,metode bayar astrapay isa blu batas orang mass rapid transit ribu pakai ribu klo maksimal luas metode bayar shopeepay gopay via
tolong dong developer sediakan kembali metode pembayaran ewallet seperti dana ovo gopay dll agar mempermudah konsumen jga klo metode pembayaran yang sekarang banyak yang jarang pakai jadi sulit,1,0.0,0.0,Negative,developer sedia metode bayar ewallet dana ovo gopay mudah klo metode bayar jarang pakai sulit
top,4,0.5,0.5,Positive,top
tolong kembalikan ewallet seperti dahulu 😭😭😭 ku mau pakai gopay tidak bisa padahal lebih braktis,1,0.0,0.0,Negative,ewallet  pakai gopay
gabisa pake gopay lagi,1,0.0,0.0,Negative,gabisa pake gopay
apk tolol keluar kode otp saja lama banget,1,0.0,0.0,Negative,apk kode otp
baru kali ini beli ticket tidak munculbaru banget kejadian hari ini konfirm ke blubca gabisa refund sedangkan konfirm ke aplikasi ini langsung sangat ribet jujur saja bukan kesalahan customer tapi detail infonya yang diminta agak mencurigakan,2,0.0,0.0,Negative,kali beli ticket jadi gabisa refund langsung ribet jujur salah info
error cs tidak solutif thanks,1,0.2,0.2,Negative,error thanks
parah pembayaran ewallet dikuranginlama2 jadi mempersulit penumpangmending bawa kendaraan pribadi saja daripada naik tranportasi umum tapi malah dipersulit,1,0.0,0.0,Negative,parah bayar ewallet sulit bawa pribadi tranportasi sulit
sebelumnya saya suka dan sering naik mrttapi setelah di update e wallet dan bank yang biasa saya gunakan banyak yang di hilangkan dan sekarang hanya tersisa 3tiga metode pembayaran sajasaya sangat kecewakarna hanya mempersulit konsumensaya berharap bisa di evaluasi lagibank serta e wallet sebelumnya bisa di kembalikan lagi,1,0.0,0.0,Negative,suka update wallet bank hilang metode bayar sulit wallet
sudah di uninstall tidak bisa pake gopay 🥲,1,0.0,0.0,Negative,uninstall pake gopay
e wallet nya ko di kurangin bikin ribet saja,1,0.0,0.0,Negative,wallet ko bikin ribet
mrr keren aman dan nyaman tapi mahal adain promo sesekali,5,0.0,0.0,Positive,keren aman nyaman mahal promo
kenapa pembayaran pake dana atau gojek dihilangkan padahal bagus,1,0.0,0.0,Negative,bayar pake dana hilang bagus
balikin sistem pembayaran yang dulu yang bisa pakai gopai shopeepay bank bca dll agak ribet kalau harus pakai blu astra dan apalah itu jangan merepotkan konsumen yang sudah lama pakai aplikasi mass rapid transit,2,0.0,0.0,Negative,sistem bayar pakai shopeepay bank bca ribet pakai blu astra repot pakai mass rapid transit
tidak bisa pake gopay lagi auto uninstall tak minat lagi,1,0.0,0.0,Negative,pake gopay auto uninstall
tidak ada angin tidak ada hujan tiba2 saat konfirmasi pin malah muncul pesan nomor anda di block sementara selama 15 menit,1,0.0,0.0,Negative,tiba2 konfirmasi pin muncul pesan nomor menit
semakin pembaharuan aplikasinya kok metode pembayarannya semakin ilang2an pakai yang general saja dong ovo gopay blu,1,0.05000000000000002,0.5,Negative,aplikasi metode bayar pakai ovo gopay blu
sering eror transaksi pakai blu sudah berhasil tapi tiket tidak muncul fitur doang diupdate tapi tidak berfungsi dengan baik,1,0.0,0.0,Negative,eror transaksi pakai blu hasil tiket muncul fitur doang fungsi
min kok g bisa buka aplikasi katanya terdeteksi menggunakan opsi pengembang hrs di matikan dl gmn cara matiin opsi pengembang min terima kasih kl mau jawab,1,0.0,0.0,Negative,buka deteksi opsi kembang hrs mati gmn opsi kembang
jadi tidak bisa di pake karena mode pengembanagn mode saya di aktifkan padahal di versi sebelumnya aman saja,1,0.0,0.0,Negative,pake mode mode aktif versi aman
sudah tidak seasik dulu waktu masih bisa bayar pake dana skrg ribet,1,0.0,0.0,Negative,bayar pake dana skrg ribet
sudah pake e wallet yang biasa saja kayak dulu sumpah pake astrapay dan isaku susah buat top up,1,0.5,0.5,Negative,pake wallet kayak pake astrapay isa susah top
pembayaran terlalu terbatas pada aplikasi yang jarang dipunya orang,1,0.0,0.0,Negative,bayar batas jarang orang
abis update malah jadi makin ribet,1,0.0,0.0,Negative,abis update ribet
akun tiba tiba tidak bisa dan harus daftar ulang bayar pake e wallet muter terus kaya gansing,1,0.0,0.0,Negative,akun daftar ulang bayar pake wallet kaya
aplikasinya bagus tolong dong yang mau daftar akun mrtnya dipermudah soalnya register akunnya suka failed,3,-0.5,0.3,Neutral,aplikasi bagus daftar akun mrtnya mudah register akun suka failed
pembayaran jadi lebih ribet biasanya pake e wallet yang umum ini aneh,1,0.0,0.0,Negative,bayar ribet pake wallet aneh
sering log out sendiri dan mpay nya dikit pilihan nya,3,0.0,0.0,Neutral,log dikit pilih
nggak bisa daftar,1,0.0,0.0,Negative,daftar
mau bayar pake blu g bisa mau verifikasi akun g bisa selesai login selalu ada tulisan fail to fetch data from server ewalletnya tolong diperbanyak seperti linkaja ovo dana dll,1,-0.5,0.3,Negative,bayar pake blu verifikasi akun login tulis data server banyak ovo dana
tidak bisa mendaftar tidak bisa melengkapi data diri di pengaturan akun ribet banget padahal sudah sampai download astra sama isaku buat pembayaran lebih keren kai access sayangnya naik mass rapid transit gabisa pake kai access 😭,1,0.0,0.0,Negative,daftar lengkap data atur akun ribet download astra isa bayar keren kai sayang mass rapid transit gabisa pake kai
gabisa daftar sudah sebulan,1,0.0,0.0,Negative,gabisa daftar
saya orang baru memakai,2,0.0,0.0,Negative,orang pakai
aplikasi apaan sih iniudah di installgiliran mau masukin kode otp tapi tidak di kirim kode otp nya 🥱,1,0.0,0.0,Negative,masukin kode otp kirim kode otp
mau daftar saja tidak bisaudah bbrpa hari di coba tetep tidak bisa daftar jugaudah di coba di hape dan nomer berbedatapi tetep saja tidak bisa aplikasi anehbuang kuota aja,1,0.0,0.0,Negative,daftar coba tetep daftar coba hape nomer tetep
registernya susah kode yang dikirim tidak valid semua,3,0.0,0.0,Neutral,register susah kode kirim
oyi tok,5,0.0,0.0,Positive,
aplikasi terbodoh se dunia registrasi saja eror terus bodoh,1,0.0,0.0,Negative,bodoh dunia registrasi eror bodoh
aku harus selalu ingat bawa kartu nikarna sekarang beli pake aplikasi rempong juga,1,0.0,0.0,Negative,bawa kartu beli pake
sekarang tidak bisa beli tiket nya pakai ewallet seperti dana dan lainnya sebagai nya,1,0.0,0.0,Negative,beli tiket pakai ewallet dana
sudah tidak bisa bayar pake gopay ovo dll dipaksa pake astrapay blu i saku mempersulit pengguna ini menjijikan,1,0.0,0.0,Negative,bayar pake gopay ovo paksa pake astrapay blu saku sulit guna
pada saat pendaftaran dibilang kode verifikasi salah terus padahal sudah sesuai,1,0.0,0.0,Negative,daftar bilang kode verifikasi salah sesuai
is the best,5,1.0,0.3,Positive,best
kecewa dahhh dulu bisa pake ewallet dana gopay ovo dll sekarang malah tidak adahilangduhhhhh,1,0.0,0.0,Negative,kecewa pake ewallet dana gopay ovo
susah login,2,0.0,0.0,Negative,susah login
untuk pemgisian saldo di persulit,1,0.0,0.0,Negative,saldo sulit
sangat baik,4,0.0,0.0,Positive,
bagus,5,0.0,0.0,Positive,bagus
jelek banget apsnya susah login,1,0.0,0.0,Negative,jelek susah login
sering banget close sendiri padahal cuma cek jadwal,1,0.0,0.0,Negative,close cek jadwal
tidak bisa pakai ovo gopay dana lagi,1,0.0,0.0,Negative,pakai ovo gopay dana
aplikasi yang awalnya bagus bgttapi setelah cuma bisa payment pakek 2 ewallet tidak jelas jadi parah bgt mending klo bisa payment ini kagak bisa trus gimana  kacauuuu,1,0.0,0.0,Negative,bagus payment ewallet parah mending klo payment trus gimana
ok,5,0.5,0.5,Positive,
pembayaran yang sekarang susahhh enak yang lama pake gopay atau ovo,3,0.0,0.0,Neutral,bayar enak pake gopay ovo
terakhir baru sebulan yang lalu pakai mass rapid transit app masih ada dana gopay dll eh sekarang sudah tidak ada ya sudah uninstall,1,0.0,0.0,Negative,pakai mass rapid transit app dana gopay eh uninstall
kok makin ribet pembayarannya biasanya bisa pake e wallet skrg sudah tidak bisa tolong dong masa dikasih pilihan e wallet yang jarang orang pake,2,0.0,0.0,Negative,ribet bayar pake wallet skrg kasih pilih wallet jarang orang pake
