content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,indonesian_sentiment,clean_text_final
kurang bagus sistem pembayaranya harusnya bisa edit nmr gopay atau dana pas mau bayarnya karna tidak semua orang nomor waemail singkron ke gopaydana kalau bisa juga ada sistem pembayaran virtual acount jadi sy uninstal apk ini,1,0.0,0.0,Negative,1,bagus sistem pembayaranya edit gopay dana pas bayar karna orang nomor sistem bayar virtual acount sy uninstal apk
bagus dan nyaman,5,0.0,0.0,Positive,1,bagus nyaman
disat mau pembayaran selalu tidak bisa padahal sinyal ful g tetep saja cuma muncul layar putih,1,0.0,0.0,Negative,0,sat bayar sinyal ful tetep muncul layar
tidak berguna nih aplikasi beli tiket mau pembayaran tidak bisa terus,1,0.0,0.0,Negative,0,guna beli tiket bayar
gabisa hubungkan ke gopay dan blu by bca,1,0.0,0.0,Negative,0,gabisa hubung gopay blu bca
bismilahirahmanirahim tadinya sudah download aplikasi buat mempermudah beli beli tiket pas di coba eh koq metode bayarnya pakai aplikasi ewalet yang belum pernah saya tau juga cuma pakai blu aja bank yang lainya tidak ada akhirnya saya uninstal balik saja pakai emoney lebih mudah dan praktis maf ya,3,0.0,0.0,Neutral,1,bismilahirahmanirahim download mudah beli beli tiket pas coba eh koq metode bayar pakai ewalet pakai blu bank lai uninstal pakai emoney mudah praktis maf
daftar tidak bisa masuk masuk internal eror tolong di permudah untuk daftar,2,0.0,0.0,Negative,1,daftar masuk masuk internal eror mudah daftar
tidak bisa mendaftar selalu muncul notifikasi internal eror,1,0.0,0.0,Negative,0,daftar muncul internal eror
fasilitas transportasi yang mantap,5,0.0,0.0,Positive,1,fasilitas transportasi mantap
ngak bisa daftar upload id,1,0.0,0.0,Negative,0,ngak daftar upload id
ok e,5,0.5,0.5,Positive,0,
apan sih sekarang di stasiun lebak bulus pintu masuknya cuma sisi aja kita yang dari arah parkiran resmi jadi jalan kejauhan mana kalau lagi ramai jadi ngantri lagi masuknya ini bintang untuk stasiun lebak bulus bulan aplikasi kalau aplikasi sudah baik,1,0.0,0.0,Negative,1,apan stasiun lebak bulus pintu masuk arah resmi jalan masuk bintang stasiun lebak bulus
sangat mengangumkan,5,0.0,0.0,Positive,0,
new comer,5,0.13636363636363635,0.45454545454545453,Positive,0,
bukan rating untuk aplikasi hanya saja mungkin kalau nulis disini lebih memungkinkan tersampaikan saran saya sebaiknya bisa di training lagi untuk petugas ticketing pintu keluar lebak bulus hari ini okt pukul   wib agar lebih ramah terutama pada pelangan baru,1,0.0,0.0,Negative,1,rating saran tugas pintu lebak bulus ramah pelang
col aplication,5,0.0,0.0,Positive,0,aplication
sistem pembayaran bukanya makin baik tapi makin hancur dlu bisa pake gopayovo link aja sekarang pake blu bca juga tidak bs beli di loket kena biaya  programer lo busuk min gantin aja orang mau buru malah ngupdate,1,0.0,0.0,Negative,1,sistem bayar buka dlu pake link pake blu bca beli loket biaya lo orang buru
ap nya sudah bagus dan metode pembayaranya juga sudah lebih banyak dari sebelumnya cuma untuk metode pembayaran blu by bca masih susah untuk proses bindingnya terutama ketika memasukan pasword padahal sudah sesuai dan benar namun tetap diangap salah mohon diperbaiki dan terima kasih,5,0.0,0.0,Positive,1,ap bagus metode pembayaranya metode bayar blu bca susah proses pasu pasword sesuai diangap salah mohon baik
metode pembayaran mengunakan aplikasi blu selalu eror dan gagal kalau bisa secepatnya di perbaiki,2,0.0,0.0,Negative,1,metode bayar mengunakan blu eror gagal cepat baik
tidak guna bayarnya susah gabisa pake virtual acount,1,0.0,0.0,Negative,0,bayar susah gabisa pake virtual acount
ribet sangat masalah topup gmn bisa berkembang ni aplikasi,1,0.0,0.0,Negative,0,ribet topup gmn kembang ni
kalau bisa stasiun awalnya juga bisa diubah jgn hanya stasiun tujuan kalau sudah beli p dan ternyata pulangnya tidak bisa dari stasiun yang sesuai dengan yang dibeli jadi repot hrs beli tiket lagi,3,0.0,0.0,Neutral,0,stasiun ubah jgn stasiun tuju beli pulang stasiun sesuai beli repot hrs beli tiket
pilihan pembayaran kacau amat bukanya ada pilihan pembayaran ewalet popular kaya gopay ovo dana ini malah pake ewalet tidak jelas yang gatau siapa coba yang punya  pake gitu pun pembayaran bank juga tidak jelas cuma bisa dari bank entah mana itu padahal tingal dibuatin virtual acount saja beres bisa transfer semua bang kesanya kaya bikin aplikasi tidak niat buat mempermudah penguna tapi yang penting dapet komisi dari vendor aja,1,0.6,0.9,Negative,1,pilih bayar kacau buka pilih bayar ewalet kaya gopay ovo dana pake ewalet coba pake gitu bayar bank bank tingal virtual acount beres bang kesanya kaya bikin niat mudah penguna dapet vendor
bank pembayaran nya terlalu sedikit,2,0.0,0.0,Negative,0,bank bayar
tidak bisa bayar pakai gopay link aja qris,1,0.0,0.0,Negative,0,bayar pakai gopay link qris
pembayaran pake blu eror terus jadi gabisa beli tiket,1,0.0,0.0,Negative,0,bayar pake blu eror gabisa beli tiket
update mulu tiap hari,1,0.0,0.0,Negative,0,update mulu
ini aplikasi mass rapid transit bukanya memudahkan malah makin ngeribetin aplikasi nya suka eror pembelian tiket suka eror mending lu benerin dulu deh bug nya pengen ngomong kasar hadeh,1,0.0,0.0,Negative,0,mass rapid transit buka mudah suka eror beli tiket suka eror mending benerin bug kasar hadeh
pembayaran ribet pake bank cuma bisa blu dan master card tapi pake blu tidak bisa pake isaku juga tidak bisa apa tidak bisa pake pake alat pembayaran yang lebih mudah,1,0.0,0.0,Negative,1,bayar ribet pake bank blu card pake blu pake isa pake pake bayar mudah
gabisa pake bca digital,1,0.0,0.0,Negative,0,gabisa pake bca digital
metode pembayaranya kurang banyak ewalet nya kurang jadi ribet naik nya juga,2,0.0,0.0,Negative,0,metode pembayaranya ewalet ribet
fasilitas tungu d bawah minim mana ada stasiun besar kok fasilitas apa ada nya gembel,1,0.0,0.0,Negative,0,fasilitas tungu minim stasiun fasilitas gembel
kebiasan suka log oug dengan sendirinya dihilangkan lah,2,0.0,0.0,Negative,0,suka log hilang
nice,5,0.6,1.0,Positive,0,nice
bagus enak adem nyaman dan sangat mudah untuk cara pemesan tiket nya  naik pas ulang tahun jakarta juni ,5,0.0,0.0,Positive,1,bagus enak nyaman mudah mes tiket pas ulang jakarta
semangat bang,5,0.0,0.0,Positive,0,semangat bang
hebat…,5,0.0,0.0,Positive,0,hebat
nga bisa bayar pakai astrapay loading mulu,1,0.0,0.0,Negative,0,nga bayar pakai astrapay loading mulu
transportasi terbaru di dki jakarta rute nya hanya dari lebak bulus tujuan bundaran hi  arah sebaliknya bundaran hi tujuan lebak bulus,5,0.0,0.0,Positive,0,transportasi baru dki jakarta rute lebak bulus tuju bundar arah bundar tuju lebak bulus
apa beda lrt dengan mass rapid transit dan bagaimana cara kalau kita mau naik salah satu kereta ini,5,0.0,0.0,Positive,0,beda lrt mass rapid transit salah kereta
gajelas buka yutup lancar tapi buka mrtj lemot di jam sibuk server bapuk,2,0.0,0.0,Negative,-1,gajelas buka lancar buka lot jam sibuk server
tidak bisa bayar pakai ewalet yang lain tidak bisa bayar pakai qris yang kode batangnya bisa diunduh biaya transportasinya agak mahal,2,0.0,0.0,Negative,0,bayar pakai ewalet bayar pakai qris kode unduh biaya transportasi mahal
suka eror sesudah membeli tiket,2,0.0,0.0,Negative,0,suka eror beli tiket
pembelian online nya semakin membagong kan monopoli metode pembayaran pihak tertentu harusnya pemerintah turun tangan nie secara ini kan salah satu fasilitas strategis negara,1,0.0,0.0,Negative,0,beli online monopoli metode bayar turun salah fasilitas negara
tujuan bandung tidak ada di aplikasinya,2,0.0,0.0,Negative,0,tuju
menyusahkan metode pembayaran nya tidak familiar,1,0.375,0.5,Negative,0,susah metode bayar familiar
kaga jelas keluar mulu pin sama kaga bisa gua kaga bisa pulang bangsat,1,0.0,0.0,Negative,0,kaga mulu pin kaga kaga pulang
tidak ada metode pembayaran via gojegdana gitu,1,0.0,0.0,Negative,0,metode bayar via gitu
oke,5,0.0,0.0,Positive,0,
tujuan adanya mass rapid transit agar masyarakat beralih ke trasnportasi umum tapi untuk akses pembayaranya tidak kayak dulu kalau dulu pembeliat tiket bisa melalui ovo dn gopay tapi skrng hanya berlaku i saku dan astrapay tolong pihak mass rapid transit dibaca kenapa saya menyarankan pembayaran via e walet seperti ovo atau gopay dan dana karena masyarakat banyak transaksi melalukan e walet tersebut bukan e walet seperti i saku dan astrapay,1,0.0,0.0,Negative,0,tuju mass rapid transit masyarakat alih akses pembayaranya kayak tiket ovo dn gopay skrng laku saku astrapay mass rapid transit baca saran bayar via walet ovo gopay dana masyarakat transaksi walet walet saku astrapay
karena jika opsi pengembang android aktif  aplikasi tidak bisa dipakai tapi kalo opsi pengembang di android tidak aktif hape lelet bukan main dan aplikasi ini mengharuskan opsi pengembang dalam keadan non aktif apakah penguna aplikasi my mrtj ini harus penguna iphone,1,0.16666666666666666,0.3333333333333333,Negative,0,opsi kembang android aktif pakai kalo opsi kembang android aktif hape lelet opsi kembang aktif penguna penguna
jelek banget masa cuma bisa bayar pake bank blu doang sama astrapay bayak lho jenis pembayaran lainya,1,0.0,0.0,Negative,-1,jelek bayar pake bank blu doang astrapay jenis bayar lai
pembayaranya tidak seperti dulu lagi,1,0.0,0.0,Negative,0,pembayaranya
tiap bulan uptd trs bukanya bgs makin eror tiap updt,1,0.0,0.0,Negative,0,trs buka bgs eror
ok,5,0.5,0.5,Positive,0,
metode pembayaran diperbanyak bisa tidak sih aps jaman now masa ngebatasin penguna segitunya,2,0.0,0.0,Negative,0,metode bayar banyak aps jaman penguna
ok,5,0.5,0.5,Positive,0,
untuk info tenant tolong infokan daftar menu dan pricelist nya misalnya ketika kita klik hypr cafein muncul daftar menu dan harga nya terima kasih,1,0.0,0.0,Negative,0,info info daftar menu klik muncul daftar menu harga
tidak bisa bayar pake blu,1,0.0,0.0,Negative,0,bayar pake blu
mode pembayaranya terbatas tolong dong di perluas lagi,1,0.0,0.0,Negative,0,mode pembayaranya batas luas
kalau misalkan aplikasi tidak dipakai lebih baik di nonaktifkan saja di playstore menyusahkan saja tidak ada pemberitahuan juga,1,0.0,0.0,Negative,1,pakai susah pemberitahuan
aplikasi sangat merugikan lebih dari kali dengan kasus yang sama ketika sat melakukan pembayaran melalui isaku seperti terjadi trouble dan gagal sehinga saya mengetik ulang dan melakukan pembayaran lg alhasil sy beli tiket yang sma padahal yang pertama traublerugi bnget si akan saya uninstal sihgak berguna,1,-0.2,0.2,Negative,-1,rugi kali sat bayar isa trouble gagal etik ulang bayar lg sy beli tiket sma bnget si uninstal guna
metode pembayaran terbatas bikin males,1,0.0,0.0,Negative,0,metode bayar batas bikin males
gila nyusahin aplikasi sampah tidak guna,1,0.0,0.0,Negative,0,gila nyusahin sampah
instal langsung delete opsi pembayaran kurang banyak,1,0.0,0.0,Negative,0,instal langsung opsi bayar
pembayaran sekarang ribet tidak bsa pake dana,1,0.0,0.0,Negative,0,bayar ribet bsa pake dana
moda raya terpadu jakarta,3,0.0,0.0,Neutral,0,moda raya padu jakarta
top up nya g lengkap g bisa pke e walet laen,1,0.5,0.5,Negative,0,top lengkap pke walet
aplikasi nya parah jelek bgt sering banget tiap bulan perbarui aplikasi tidak bisa di akses nya sering banget,2,0.0,0.0,Negative,-1,parah jelek baru akses
setelah update malah metode pembayaran nya cuma opsi ewalet dan bank mana g umum tuh ewalet nya ayolah tambahin malah males naik mass rapid transit,1,0.0,0.0,Negative,0,update metode bayar opsi ewalet bank tuh ewalet ayo tambahin males mass rapid transit
opsi pembayaran kini malah tambah dikit harusnya bisa gopay ovo shope debit kredit cash biasanya lwt indoalfa atau va,3,0.0,0.0,Neutral,0,opsi bayar dikit gopay ovo debit kredit lwt
ketika dinstal kembali ternyata pilihan pembayaran sangat sedikit dan tidak familiar jadi uninstal kembali mohon metode pembayaran seperti dahulu yang mana sangat bervariasi,1,0.375,0.5,Negative,0,pilih bayar familiar uninstal mohon metode bayar
bodoh bodoh buat bayar saja susah,1,0.0,0.0,Negative,0,bodoh bodoh bayar susah
tidak bisa di akses,1,0.0,0.0,Negative,0,akses
bagus,5,0.0,0.0,Positive,1,bagus
metode pembayaran kurang update,1,0.0,0.0,Negative,0,metode bayar update
sangat berguna bagi rakyat,5,0.0,0.0,Positive,0,guna rakyat
cara pembayaran sangat terbatas,1,0.0,0.0,Negative,0,bayar batas
sudah gabisa pake dana lagi dibuat untuk memudahkan tetapi sekarang malah makin menyulitkan tolong adakan lagi metode pembayaran ewalet lainya,1,0.0,0.0,Negative,1,gabisa pake dana mudah sulit metode bayar ewalet lai
aplikasi pegembang apan,1,0.0,0.0,Negative,0,apan
hari ini tgl  jam  eror lagi pembayaran dengan metode isaku tolonglah di perbaiki eror di pagi hari sangat merugikan penguna,1,0.0,0.0,Negative,1,tgl jam eror bayar metode isa tolong baik eror pagi rugi penguna
kocak tidak bisa bayar pake ovodanagopay lagi bukanya mempermudah malah memper sulit,2,0.0,0.0,Negative,0,kocak bayar pake buka mudah sulit
uninstal  makin susah buat topup dan pembayaran cuman bisa ewalet yang tidak tenar jarang sangat orang pakai astrapay sama isaku jaman makin maju tapi mass rapid transit malah makin mundur harusnya pembayaran bisa pakai tf bank dan e walet populer seperti gopay ovo shopepay harusnya semuanya dibuat untuk memudahkan orang bukan malah mempersulit,2,0.0,0.0,Negative,0,uninstal susah topup bayar ewalet jarang orang pakai astrapay isa jaman maju mass rapid transit mundur bayar pakai bank walet populer gopay ovo shopepay mudah orang sulit
ok,5,0.5,0.5,Positive,0,
istri weding,5,0.0,0.0,Positive,0,
proses pembayaran sering eror pernah masalahnya akun ewalet saya terhubung dengan akun lain padahal tidak pernah pake isaku atau astrapay di akun lain pernah juga gagal lakukan pembayaran dengan notif pembayaran mengunakan tix id eror lah kok tiba tix id sih random amat setelah coba sekali lagi berhasil tapi tiket yang saya pesan malah jadi double entah gimana ceritanya dan tidak bisa dibatalkan mantap,3,-0.25,0.25,Neutral,0,proses bayar eror akun ewalet hubung akun pake isa astrapay akun gagal laku bayar notif bayar mengunakan tix id eror tix id coba hasil tiket pesan gimana mantap
aplikasi jelek tidak bisa di pakai,1,0.0,0.0,Negative,-1,jelek pakai
makin updat makin aneh ini aplikasi metode pembayaranya yang praktis digunakan malah dihapus,1,0.0,0.0,Negative,0,aneh metode pembayaranya praktis hapus
kenapa tidak bisa top up pakai qris dana atau gopay sangat bikin ribet tolong jangkauanya harus luas ya terimakasih,1,0.5,0.5,Negative,0,top pakai qris dana gopay bikin ribet luas terimakasih
kok tidak bisa di buka ya tulisanya pengembangan atau apa trus di suruh matikan hp sudah di restart tapi tidak bisa ke buka juga,1,0.0,0.0,Negative,0,buka tulisanya kembang trus suruh mati hp buka
kacau lah pagi² mu order tiket malah eror tidak ada pilihan pembayaran untung ada bawa emoney,2,0.0,0.0,Negative,0,kacau pagi mu tiket eror pilih bayar untung bawa emoney
ni kenapa saya mau bayar mass rapid transit jakarta tiba data sat ini kosong apa coba jelasin lah,2,0.0,0.0,Negative,0,ni bayar mass rapid transit jakarta data sat coba
baru mau coba beli tiket eh metode pembayaranya tidak ada sama sekali bener gila,1,0.0,0.0,Negative,0,coba beli tiket eh metode pembayaranya bener gila
ada yang aneh sat mau beli tiket diminta metode pembayaran nya tapi tidak ada field nya di checkout ataupun sat di set metode pembayaran di profile tidak bisa ewalet atau bank,2,0.0,0.0,Negative,0,aneh sat beli tiket metode bayar sat set metode bayar ewalet bank
payah mau bayar saja repot,1,0.0,0.0,Negative,0,payah bayar repot
salah klik beli tiket gabisa refund parah gabisa cancel pula,1,0.0,0.0,Negative,0,salah klik beli tiket gabisa refund parah gabisa
ribet beli tiketnya,1,0.0,0.0,Negative,0,ribet beli tiket
dulu saya sering pakai ni aplikasi tapi semakin di update semakin mempersulit penguna kecewa,1,0.0,0.0,Negative,-1,pakai ni update sulit penguna kecewa
ok,5,0.5,0.5,Positive,0,
pembayaran sulit kalau update tidak langsung terinstal,2,0.0,0.0,Negative,-1,bayar sulit update langsung
akun anda terdeteksi opsi pengembang itu maksudnya apa sy tidak bisa masuk,4,0.0,0.0,Positive,0,akun deteksi opsi kembang sy masuk
mode pembayaran bank nya tambahin dong masa blu doang,1,0.0,0.0,Negative,0,mode bayar bank tambahin blu doang
tambahin pembayaran pake gopay atau dana plis,1,0.0,0.0,Negative,0,tambahin bayar pake gopay dana
baru update malah makin sampah ni aplikasi tidak berguna bayar cuma bisa pake ewalet astra sama bank cuma bisa blu doang sarat kepentingan perusahan tidak memikirkan kepentingan umum masyarakat padahal ini kan bumn transportasi milik negaradaerah bukan personal lucunya negeri ini parah kacaw penuh kepentingan pribadi,1,0.0,0.3,Negative,0,update sampah ni guna bayar pake ewalet astra bank blu doang penting pikir penting masyarakat transportasi milik lucu parah penuh penting pribadi
payment online mengunakan yang jarang orang pakai  bikin ribet  balikin lagi donk e walet seperti gopay ovo,1,0.0,0.0,Negative,0,payment online mengunakan jarang orang pakai bikin ribet balikin donk walet gopay ovo
metode pembayaran hanya bisa melalui astrapay isaku  blu ini sama saja membatasi orang untuk naik mrt okupansi mass rapid transit ribu tapi rata cuma terpakai ribu alias kurang dari setengah kapasitas kalau mau maksimal harusnya perluas kanal metode pembayaran terutama yang sudah populer seperti shopepay gopay  via mobile banking,1,0.0,0.0,Negative,0,metode bayar astrapay isa blu batas orang mass rapid transit ribu pakai ribu alias maksimal luas metode bayar populer shopepay gopay via mobile
tolong dong developer sediakan kembali metode pembayaran ewalet seperti dana ovo gopay dl agar mempermudah konsumen jga kalau metode pembayaran yang sekarang banyak yang jarang pakai jadi sulit,1,0.0,0.0,Negative,0,developer sedia metode bayar ewalet dana ovo gopay dl mudah konsumen metode bayar jarang pakai sulit
top,4,0.5,0.5,Positive,0,top
tolong kembalikan ewalet seperti dahulu ku mau pakai gopay tidak bisa padahal lebih braktis,1,0.0,0.0,Negative,0,kembali ewalet ku pakai gopay
gabisa pake gopay lagi,1,0.0,0.0,Negative,0,gabisa pake gopay
apk tolol keluar kode otp saja lama banget,1,0.0,0.0,Negative,0,apk kode otp
baru kali ini beli ticket tidak munculbaru sangat kejadian hari ini konfirm ke blubca gabisa refund sedangkan konfirm ke aplikasi ini langsung sangat ribet jujur saja bukan kesalahan customer tapi detail infonya yang diminta agak mencurigakan,2,0.0,0.0,Negative,0,kali beli ticket jadi konfirm gabisa refund konfirm langsung ribet jujur salah customer info
eror cs tidak solutif thanks,1,0.2,0.2,Negative,0,eror thanks
parah pembayaran ewalet dikuranginlama jadi mempersulit penumpangmending bawa kendaran pribadi saja daripada naik tranportasi umum tapi malah dipersulit,1,0.0,0.0,Negative,-1,parah bayar ewalet sulit bawa pribadi tranportasi sulit
sebelumnya saya suka dan sering naik mrttapi setelah di update e walet dan bank yang biasa saya gunakan banyak yang di hilangkan dan sekarang hanya tersisa tiga metode pembayaran sajasaya sangat kecewakarna hanya mempersulit konsumensaya berharap bisa di evaluasi lagibank serta e walet sebelumnya bisa di kembalikan lagi,1,0.0,0.0,Negative,-1,suka update walet bank hilang sisa metode bayar sulit harap walet kembali
sudah di uninstal tidak bisa pake gopay,1,0.0,0.0,Negative,0,uninstal pake gopay
e walet nya ko di kurangin bikin ribet saja,1,0.0,0.0,Negative,0,walet ko bikin ribet
mr keren aman dan nyaman tapi mahal adain promo sesekali,5,0.0,0.0,Positive,1,keren aman nyaman mahal promo
kenapa pembayaran pake dana atau gojek dihilangkan padahal bagus,1,0.0,0.0,Negative,1,bayar pake dana hilang bagus
balikin sistem pembayaran yang dulu yang bisa pakai gopai shopepay bank bca dl agak ribet kalau harus pakai blu astra dan apalah itu jangan merepotkan konsumen yang sudah lama pakai aplikasi mass rapid transit,2,0.0,0.0,Negative,0,balikin sistem bayar pakai shopepay bank bca dl ribet pakai blu astra apa repot konsumen pakai mass rapid transit
tidak bisa pake gopay lagi auto uninstal tak minat lagi,1,0.0,0.0,Negative,0,pake gopay auto uninstal
tidak ada angin tidak ada hujan tiba sat konfirmasi pin malah muncul pesan nomor anda di block sementara selama menit,1,0.0,0.0,Negative,0,hujan sat konfirmasi pin muncul pesan nomor menit
semakin pembaharuan aplikasinya kok metode pembayaranya semakin ilangan pakai yang general saja dong ovo gopay blu,1,0.05000000000000002,0.5,Negative,0,metode pembayaranya pakai ovo gopay blu
sering eror transaksi pakai blu sudah berhasil tapi tiket tidak muncul fitur doang diupdate tapi tidak berfungsi dengan baik,1,0.0,0.0,Negative,1,eror transaksi pakai blu hasil tiket muncul fitur doang diupdate fungsi
min kok g bisa buka aplikasi katanya terdeteksi mengunakan opsi pengembang hrs di matikan dl gmn cara matin opsi pengembang min terima kasih kalau mau jawab,1,0.0,0.0,Negative,0,buka deteksi mengunakan opsi kembang hrs mati dl gmn opsi kembang
jadi tidak bisa di pake karena mode pengembanagn mode saya di aktifkan padahal di versi sebelumnya aman saja,1,0.0,0.0,Negative,0,pake mode mode aktif versi aman
sudah tidak seasik dulu waktu masih bisa bayar pake dana sekarang ribet,1,0.0,0.0,Negative,0,bayar pake dana ribet
sudah pake e walet yang biasa saja kayak dulu sumpah pake astrapay dan isaku susah buat top up,1,0.5,0.5,Negative,0,pake walet kayak pake astrapay isa susah top
pembayaran terlalu terbatas pada aplikasi yang jarang dipunya orang,1,0.0,0.0,Negative,0,bayar batas jarang orang
abis update malah jadi makin ribet,1,0.0,0.0,Negative,0,abis update ribet
akun tiba tiba tidak bisa dan harus daftar ulang bayar pake e walet muter terus kaya gansing,1,0.0,0.0,Negative,0,akun daftar ulang bayar pake walet kaya
aplikasinya bagus tolong dong yang mau daftar akun mrtnya dipermudah soalnya register akunya suka failed,3,-0.5,0.3,Neutral,1,bagus daftar akun mrtnya mudah register aku suka failed
pembayaran jadi lebih ribet biasanya pake e walet yang umum ini aneh,1,0.0,0.0,Negative,0,bayar ribet pake walet aneh
sering log out sendiri dan mpay nya dikit pilihan nya,3,0.0,0.0,Neutral,0,log dikit pilih
ngak bisa daftar,1,0.0,0.0,Negative,0,ngak daftar
mau bayar pake blu g bisa mau verifikasi akun g bisa selesai login selalu ada tulisan fail to fetch data from server ewaletnya tolong diperbanyak seperti linkaja ovo dana dl,1,-0.5,0.3,Negative,0,bayar pake blu verifikasi akun selesai login tulis data server banyak linkaja ovo dana dl
tidak bisa mendaftar tidak bisa melengkapi data diri di pengaturan akun ribet sangat padahal sudah sampai download astra sama isaku buat pembayaran lebih keren kai aces sayangnya naik mass rapid transit gabisa pake kai aces,1,0.0,0.0,Negative,1,daftar lengkap data atur akun ribet download astra isa bayar keren kai aces sayang mass rapid transit gabisa pake kai aces
gabisa daftar sudah sebulan,1,0.0,0.0,Negative,0,gabisa daftar bulan
saya orang baru memakai,2,0.0,0.0,Negative,0,orang pakai
aplikasi apan sih iniudah di instalgiliran mau masukin kode otp tapi tidak di kirim kode otp nya,1,0.0,0.0,Negative,0,apan masukin kode otp kirim kode otp
mau daftar saja tidak bisaudah brpa hari di coba tetep tidak bisa daftar jugaudah di coba di hape dan nomer berbedatapi tetep saja tidak bisa aplikasi anehbuang kuota aja,1,0.0,0.0,Negative,0,daftar coba tetep daftar coba hape nomer tetep
registernya susah kode yang dikirim tidak valid semua,3,0.0,0.0,Neutral,0,register susah kode kirim valid
oyi tok,5,0.0,0.0,Positive,0,
aplikasi terbodoh se dunia registrasi saja eror terus bodoh,1,0.0,0.0,Negative,0,bodoh dunia registrasi eror bodoh
aku harus selalu ingat bawa kartu nikarna sekarang beli pake aplikasi rempong juga,1,0.0,0.0,Negative,0,bawa kartu beli pake
sekarang tidak bisa beli tiket nya pakai ewalet seperti dana dan lainya sebagai nya,1,0.0,0.0,Negative,0,beli tiket pakai ewalet dana lai
sudah tidak bisa bayar pake gopay ovo dl dipaksa pake astrapay blu i saku mempersulit penguna ini menjijikan,1,0.0,0.0,Negative,-1,bayar pake gopay ovo dl paksa pake astrapay blu saku sulit penguna
pada sat pendaftaran dibilang kode verifikasi salah terus padahal sudah sesuai,1,0.0,0.0,Negative,0,sat daftar bilang kode verifikasi salah sesuai
is the best,5,1.0,0.3,Positive,0,best
kecewa dah dulu bisa pake ewalet dana gopay ovo dl sekarang malah tidak adahilangduh,1,0.0,0.0,Negative,-1,kecewa dah pake ewalet dana gopay ovo dl
susah login,2,0.0,0.0,Negative,0,susah login
untuk pemgisian saldo di persulit,1,0.0,0.0,Negative,-1,saldo sulit
sangat baik,4,0.0,0.0,Positive,1,
bagus,5,0.0,0.0,Positive,1,bagus
jelek sangat apsnya susah login,1,0.0,0.0,Negative,-1,jelek susah login
